the_geom,id,continent,country,city,iso_a3,name,h_type,cartodb_id,src_year,src_type,src_add,src_status,src_drawer,notes,h_special,h_vaccine,within_5km,optid,fib_dist,adm1_name
0101000020E6100000DDBF88E81D9956408F71C5C551BF3740,,Asia,Bangladesh,,BGD,Padma General Hospital,Hospital,56597,25,22,22,22,119,,,,TRUE,56597,,Dhaka
0101000020E61000001068B0A973985640590A92883ABD3740,,Asia,Bangladesh,,BGD,Popular DiagonesticCenter & Hospital,Hospital,56625,25,22,22,22,119,,,,TRUE,56625,,Dhaka
0101000020E610000072B8454F009956402B8617E9EABD3740,,Asia,Bangladesh,,BGD,Rokeya Dental Care,Hospital,56655,25,22,22,22,119,,,,TRUE,56655,,Dhaka
0101000020E6100000A8189DE2A7985640100DF736A2C03740,,Asia,Bangladesh,,BGD,Samorita Hospital,Hospital,56665,25,22,22,22,119,,,,TRUE,56665,,Dhaka
0101000020E6100000445EC2B0A8985640CBA96400A8C03740,,Asia,Bangladesh,,BGD,Shomrita Pvt Hospital,Hospital,56701,25,22,22,22,119,,,,TRUE,56701,,Dhaka
0101000020E6100000EC6877A36A985640E595C338C9C03740,,Asia,Bangladesh,,BGD,Square Hospital,Hospital,56713,25,22,22,22,119,,,,TRUE,56713,,Dhaka
0101000020E6100000FA36FA117598564053E0BFD42ABE3740,,Asia,Bangladesh,,BGD,laser sckin,Medical Clinic,56776,25,22,22,22,119,,,,TRUE,56776,,Dhaka
0101000020E6100000FA36FA117598564053E0BFD42ABE3740,,Asia,Bangladesh,,BGD,laser sckin,Medical Clinic,56777,25,22,22,22,119,,,,TRUE,56777,,Dhaka
0101000020E61000006E2DA40DD198564037D8F6D104BD3740,,Asia,Bangladesh,,BGD,??????? ????????? ???????,Hospital,56790,25,22,22,22,119,,,,TRUE,56790,,Dhaka
0101000020E610000074769E1D95985640860D710745BE3740,,Asia,Bangladesh,,BGD,"????????? ??????? ???????, Central Hospital Limited",Hospital,56798,25,22,22,22,119,,,,TRUE,56798,,Dhaka
0101000020E6100000C166800BB2975640BF5DF6EB4EBF3740,,Asia,Bangladesh,,BGD,Eden Multicare Hospital,Hospital,57384,25,22,22,22,119,,,,TRUE,57384,,Dhaka
0101000020E6100000430724615F985640847148B42EB73740,,Asia,Bangladesh,,BGD,Manobic Heath Center,Hospital,61052,25,22,22,22,119,,,,TRUE,61052,,Dhaka
0101000020E6100000316953758F975640B449B148B8B73740,,Asia,Bangladesh,,BGD,Marie Stopes,Hospital,61379,25,22,22,22,119,,,,TRUE,61379,,Dhaka
0101000020E6100000255415BF0E9B56405E085B47B0B43740,,Asia,Bangladesh,,BGD,Bibi morium health complex,Medical Clinic,45014,25,22,22,22,119,,,,TRUE,45014,,Dhaka
0101000020E61000000D2D06DBEF995640BA929A2CA4B93740,,Asia,Bangladesh,,BGD,"Government Staff Hospital, Dhaka, Bangladesh",Hospital,46677,25,22,22,22,119,,,,TRUE,46677,,Dhaka
0101000020E6100000B495A828A89A5640F4752A2A2CB83740,,Asia,Bangladesh,,BGD,Health Care,Hospital,48239,25,22,22,22,119,,,,TRUE,48239,,Dhaka
0101000020E6100000E832EB7BC399564002B600231EBF3740,,Asia,Bangladesh,,BGD,Holy Family Red Crescent Medical College and Hospital,Hospital,49948,25,22,22,22,119,,,,TRUE,49948,,Dhaka
0101000020E61000005C8C9B06E39A5640A83CDC69C6BF3740,,Asia,Bangladesh,,BGD,Khidmah Hospital,Hospital,54184,25,22,22,22,119,,,,TRUE,54184,,Dhaka
0101000020E6100000B0F09AFC3B9A5640AEB16DAC1FC63740,,Asia,Bangladesh,,BGD,TB Hospital,Hospital,54866,25,22,22,22,119,,,,TRUE,54866,,Dhaka
0101000020E61000005C1723B7CB9A56406EF112F7B3BD3740,,Asia,Bangladesh,,BGD,AL-Barakah General Hospital,Hospital,56281,25,22,22,22,119,,,,TRUE,56281,,Dhaka
0101000020E6100000646A7EA1EC9956408BF3DCE79DBF3740,,Asia,Bangladesh,,BGD,Addin,Hospital,56288,25,22,22,22,119,,,,TRUE,56288,,Dhaka
0101000020E610000005A52F841C9B56403260FCD934B53740,,Asia,Bangladesh,,BGD,Ali Asgar Hospital,Hospital,56312,25,22,22,22,119,,,,TRUE,56312,,Dhaka
0101000020E61000004E994EAF1B9B564078761B2F38B53740,,Asia,Bangladesh,,BGD,Ali General Hospital,Hospital,56313,25,22,22,22,119,,,,TRUE,56313,,Dhaka
0101000020E6100000D1522FAE279B5640F33E558506B63740,,Asia,Bangladesh,,BGD,"Bangladesh Humiopathik Porishod, Dhaka Jila",Hospital,56340,25,22,22,22,119,,,,TRUE,56340,,Dhaka
0101000020E610000036FCC973D89A564048B91D75CFB33740,,Asia,Bangladesh,,BGD,Bangladesh Physiotherapy Center,Medical Clinic,56342,25,22,22,22,119,,,,TRUE,56342,,Dhaka
0101000020E61000008B36D8E5A59A5640EEED02CA4BB73740,,Asia,Bangladesh,,BGD,Bardem Hospital,Hospital,56345,25,22,22,22,119,,,,TRUE,56345,,Dhaka
0101000020E6100000949D70C5889B564085CE328B50BD3740,,Asia,Bangladesh,,BGD,Bashabo Diabetic Hospital,Hospital,56350,25,22,22,22,119,,,,TRUE,56350,,Dhaka
0101000020E61000001AD71494D89A5640A6B0F787D2B33740,,Asia,Bangladesh,,BGD,Delta Digonestic & Healt Care Center,Medical Clinic,56389,25,22,22,22,119,,,,TRUE,56389,,Dhaka
0101000020E61000000CDCDCF3D79A5640D619A6B6D4B33740,,Asia,Bangladesh,,BGD,Delta Dygonestic & Health Service,Hospital,56390,25,22,22,22,119,,,,TRUE,56390,,Dhaka
0101000020E610000038ED3A65FF99564011ED3BD054BB3740,,Asia,Bangladesh,,BGD,Ibrahim General Hospital,Hospital,56428,25,22,22,22,119,,,,TRUE,56428,,Dhaka
0101000020E6100000F1BF4B5F3E9A56400E6D228ED0BC3740,,Asia,Bangladesh,,BGD,Islami Bank Central Hospital,Hospital,56435,25,22,22,22,119,,,,TRUE,56435,,Dhaka
0101000020E6100000B25593F1399A564096DBACB0CFBC3740,,Asia,Bangladesh,,BGD,Islami Bank Central Hospital,Hospital,56436,25,22,22,22,119,,,,TRUE,56436,,Dhaka
0101000020E6100000367AD19D059B5640E1F5BB0BEFBC3740,,Asia,Bangladesh,,BGD,Islami Bank Hospital,Hospital,56437,25,22,22,22,119,,,,TRUE,56437,,Dhaka
0101000020E6100000CF099057569A564065D25C5D04C23740,,Asia,Bangladesh,,BGD,Islamia Homeo Hall,Medical Clinic,56442,25,22,22,22,119,,,,TRUE,56442,,Dhaka
0101000020E6100000F261AC25539A5640EB8975AA7CC13740,,Asia,Bangladesh,,BGD,Jenious Dental Care,Medical Clinic,56455,25,22,22,22,119,,,,TRUE,56455,,Dhaka
0101000020E61000001170E1FA939A5640AC75F39E14B43740,,Asia,Bangladesh,,BGD,Maula Buksh Sardar Datobbo Chokkhu Haspatal,Hospital,56477,25,22,22,22,119,,,,TRUE,56477,,Dhaka
0101000020E61000006431FB86139B5640168524B37AB33740,,Asia,Bangladesh,,BGD,Md Khayrul Islam,Hospital,56478,25,22,22,22,119,,,,TRUE,56478,,Dhaka
0101000020E61000002198FE80E2995640A270A9EFA1C03740,,Asia,Bangladesh,,BGD,Medical Room (BDRCS),Medical Clinic,56482,25,22,22,22,119,,,,TRUE,56482,,Dhaka
0101000020E6100000BB83E9C51A9A5640AFCE8CD9EDC03740,,Asia,Bangladesh,,BGD,Moghbazar Government Dispencery,Hospital,56508,25,22,22,22,119,,,,TRUE,56508,,Dhaka
0101000020E61000001F6D2DDD6E9B5640B3E512FD90B33740,,Asia,Bangladesh,,BGD,Nagar Shastho Kendro,Medical Clinic,56529,25,22,22,22,119,,,,TRUE,56529,,Dhaka
0101000020E61000008DE4F21F529A5640C6A9AE8DC2C13740,,Asia,Bangladesh,,BGD,Nagar sastha kendra,Medical Clinic,56530,25,22,22,22,119,,,,TRUE,56530,,Dhaka
0101000020E61000005F8C48141A9A564025C86361E3C03740,,Asia,Bangladesh,,BGD,Nagor Health Care,Hospital,56533,25,22,22,22,119,,,,TRUE,56533,,Dhaka
0101000020E6100000AB82BD2EE89956401E4E82925DC03740,,Asia,Bangladesh,,BGD,Nagor Health Care 2,Hospital,56534,25,22,22,22,119,,,,TRUE,56534,,Dhaka
0101000020E610000005DF8F36E99956402165E65D50C03740,,Asia,Bangladesh,,BGD,Nari Maitree,Hospital,56547,25,22,22,22,119,,,,TRUE,56547,,Dhaka
0101000020E61000009AAD7257659A56402BC3DA73F4B53740,,Asia,Bangladesh,,BGD,National Hospital,Hospital,56551,25,22,22,22,119,,,,TRUE,56551,,Dhaka
